;;;;;;;;;;;;;;;;
ВПІ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(8) ;премії (4);заходи;;;;;;;;;;;;;
;3650;2250;676,12;;;;;;;;;;;;;
30902,64;6576,12;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ЗФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп (-);премії;заходи;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
16534,09;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІЕЕ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(13);премії(4);заходи;;;;;;;;;;;;;
;6500;1700;217,5;;;;;;;;;;;;;
55544,14;8417,5;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІПСА;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(3);премії(5);заходи;;;;;;;;;;;;;
;1800;2550;;;;;;;;;;;;;;
40825,85;4350;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІТС;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;матдоп(6);премії;заходи;;;;;;;;;;;;;
;3050;;;;;;;;;;;;;;;
16000,08;3050;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІФФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;матдоп(8);премії(2);заходи;;;;;;;;;;;;;
;3700;808;;;;;;;;;;;;;;
34564,68;4508;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІХФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;матдоп(2);премії(1);заходи;;;;;;;;;;;;;
;1800;300;952;;;;;;;;;;;;;
35582,99;3052;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ММІ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;матдоп(21);премії(23);заходи;;;;;;;;;;;;;
;11220;17211;607,28;;;;;;;;;;;;;
68681,94;29038,28;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФБМІ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(3);премії(7);заходи;;;;;;;;;;;;;
;1900;3850;268,75;;;;;;;;;;;;;
24633,04;6018,75;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ПБФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(14);премії(1);заходи;;;;;;;;;;;;;
;5850;150;694,28;;;;;;;;;;;;;
36159,64;6694,28;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
РТФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(15);премії(1);заходи;;;;;;;;;;;;;
;7500;250;;;;;;;;;;;;;;
15661,65;7750;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ТЕФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(15);премії(12);заходи;;;;;;;;;;;;;
;7800;6280;3019,5;;;;;;;;;;;;;
54754,64;17099,5;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФАКС;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(4);премії(1);заходи;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;2000;150;572,4;;;;;;;;;;;;;
23538,83;2722,4;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФБТ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(12);премії(3);заходи;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;7100;1650;952;;;;;;;;;;;;;
18243,32;9702;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФЕА;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(1);премії(1);заходи;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;1200;150;499,8;;;;;;;;;;;;;
14978,72;1849,8;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФЕЛ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(6);премії(6);заходи;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;2800;3002;204;;;;;;;;;;;;;
62888,48;6006;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФІОТ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(18);премії(2);заходи;;;;;;;;;;;;;
;8200;800;;;;;;;;;;;;;;
54837,42;9000;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФЛ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(3);премії(5);заходи;;;;;;;;;;;;;
;1500;1050;213,6;;;;;;;;;;;;;
13371,96;2763,6;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФММ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
